,vertex id,x,y
303,303,9.6711326255,17.3712911358
304,304,9.133846404,17.0610887912
305,305,10.2084194077,17.0610884674
306,306,8.5965606161,17.9916937605
307,307,11.8202823793,3.1020157354
308,308,8.0592751525,18.3018956675
309,309,12.3575728019,3.4122202917
310,310,12.8948539947,3.1020191105
311,311,9.133846404,18.3018958547
312,312,12.8948539947,2.4816100442
313,313,3.2237156135,17.3712899986
314,314,13.4321529756,18.3018974626
315,315,12.8948539947,17.9916968561
316,316,10.2084194078,18.3018961785
317,317,3.7609985273,16.4406853642
318,318,3.7609985273,17.0610895636
319,319,2.6864330612,17.0610897737
320,320,2.6864330612,16.440685154
321,321,2.1491518421,4.3428212222
322,322,1.6118679284,4.0326204238
323,323,1.6118679284,3.4122184491
324,324,2.1491518421,3.1020176508
325,325,2.6864330612,3.4122171266
326,326,3.2237156135,3.1020169017
327,327,3.7609985274,3.4122173367
328,328,3.7609985274,4.0326215362
329,329,3.2237156135,4.3428219712
330,330,2.6864330612,4.0326217463
331,331,5.9101350859,4.0326211232
332,332,5.9101350859,3.4122177497
333,333,3.7609985274,18.3018950824
334,334,5.3728504574,4.3428225481
335,335,5.3728504574,3.1020163248
336,336,4.8355660835,4.0326212703
337,337,4.8355660835,3.4122176026
338,338,7.5219899151,16.1304841728
339,339,8.0592751525,16.4406859493
340,340,8.0592751525,17.0610889784
341,341,12.3575728019,15.1998768904
342,342,11.2829948111,10.8570577496
343,343,11.8202823793,15.5100814467
344,344,9.6711326255,10.5468546373
345,345,10.2084194077,10.8570573057
346,346,9.133846404,10.8570569819
347,347,9.133846404,15.199879073
348,348,9.6711326255,15.5100814176
349,349,8.0592751525,13.338669542
350,350,8.0592751525,12.7182665129
351,351,10.7457067237,15.5100817258
352,352,10.7457067237,14.2692737655
353,353,11.2829948111,14.579477186
354,354,11.2829948111,15.1998783053
355,355,10.2084194078,14.5794767421
356,356,10.2084194078,15.1998787492
357,357,10.7457067236,10.5468543291
358,358,2.13812e-05,14.2692597064
359,359,2.13812e-05,15.5100957849
360,360,13.4321529756,14.5794780262
361,361,12.8948539947,9.926448917
362,362,13.4321529756,15.1998774652
363,363,8.0592751525,11.4774598238
364,364,2.13812e-05,9.9264666303
365,365,2.13812e-05,8.6856305518
366,366,13.4321529756,9.6162483105
367,367,13.4321529756,8.9958488716
368,368,13.4321529756,3.4122197169
369,369,13.4321529756,5.2734294352
370,370,13.4321529756,4.0326191559
371,371,2.13812e-05,4.9632111154
372,372,2.13812e-05,4.3428374757
373,373,10.7457067237,16.1304834837
374,374,12.3575728019,9.6162477358
375,375,2.1491518421,12.4080662417
376,376,2.1491518421,11.787660095
377,377,1.6118679284,12.7182670401
378,378,1.07459248,12.4080691749
379,379,1.07459248,11.7876571618
380,380,1.6118679284,11.4774592966
381,381,1.6118679284,13.3386690148
382,382,2.1491518421,13.6488698132
383,383,1.07459248,13.64886688
384,384,2.1491518421,14.2692759599
385,385,4.8355660835,15.1998795795
386,386,8.5965606161,15.5100811672
387,387,11.8202823793,9.9264522921
388,388,4.8355660835,7.7550407067
389,389,5.3728504574,8.0652419845
390,390,4.2982820752,8.0652417735
391,391,4.2982820752,8.6856456904
392,392,10.2084194077,5.8938301582
393,393,10.2084194077,5.2734281511
394,394,9.6711326255,4.9632254827
395,395,9.133846404,5.2734278273
396,396,9.133846404,5.893830482
397,397,9.6711326255,6.2040328266
398,398,11.282994811,4.0326199961
399,399,11.282994811,5.273428595
400,400,10.7457067237,4.3428234166
401,401,10.7457067237,4.9632251745
402,402,8.5965606161,9.9264520126
403,403,9.133846404,9.6162499184
404,404,8.0592751525,9.6162501056
405,405,8.0592751525,8.9958470765
406,406,6.4474198939,9.9264518064
407,407,6.984704839,9.6162501987
408,408,7.5219899151,10.5468550182
409,409,7.5219899151,9.9264518821
410,410,1.07459248,9.9264474436
411,411,1.07459248,8.6856497385
412,412,0.5372974738,9.6162491335
413,413,0.5372974738,8.9958480485
414,414,1.6118679284,5.8938301421
415,415,1.07459248,6.2040280072
416,416,2.1491518421,6.2040309404
417,417,1.07459248,6.8244400203
418,418,1.6118679284,7.1346378855
419,419,2.1491518421,6.8244370872
420,420,1.6118679284,2.1714107056
421,421,1.6118679284,5.2734281673
422,422,1.07459248,4.9632303021
423,423,11.8202823793,10.5468546082
424,424,2.1491518421,4.9632273689
425,425,12.3575728019,10.8570591645
426,426,12.8948539947,10.5468579833
427,427,2.13812e-05,3.1020013972
428,428,12.3575728019,11.477457454
429,429,1.07459248,4.342818289
430,430,2.13812e-05,2.4816277575
431,431,10.7457067237,0.6204039802
432,432,8.5965606161,1.2408062966
433,433,9.133846404,1.5510083909
434,434,9.6711326255,1.2408060463
435,435,9.6711326255,0.620403672
436,436,9.133846404,7.1346375455
437,437,8.5965606161,6.8244354513
438,438,8.0592751525,7.7550403874
439,439,8.0592751525,7.1346373583
440,440,6.4474198939,4.9632259393
441,441,6.4474198939,6.20403237
442,442,6.984704839,5.273427547
443,443,6.984704839,5.8938307623
444,444,5.9101350859,5.2734274679
445,445,5.9101350859,5.8938308414
446,446,3.7609985274,2.1714118179
447,447,4.8355660835,5.2734273208
448,448,5.3728504574,4.963226043
449,449,4.2982820752,4.963226254
450,450,2.13812e-05,10.54684027
451,451,2.13812e-05,11.7876763485
452,452,4.2982820752,4.3428223371
453,453,13.4321529756,10.8570585898
454,454,8.5965606161,12.4080646059
455,455,13.4321529756,11.4774580287
456,456,2.13812e-05,13.6488860667
457,457,2.13812e-05,12.4080499882
458,458,13.4321529756,13.3386677469
459,459,13.4321529756,12.718268308
460,460,12.8948539947,11.7876586352
461,461,12.8948539947,12.4080677015
462,462,2.6864330612,18.3018948722
463,463,1.6118679284,15.1998787331
464,464,2.1491518421,15.5100795314
465,465,1.07459248,15.5100765982
466,466,2.1491518421,16.1304856782
467,467,0.5372974738,17.0610880064
468,468,0.5372974738,16.4406869214
469,469,1.07459248,16.1304886113
470,470,1.6118679284,16.4406864765
471,471,4.8355660835,18.3018953482
472,472,6.4474198939,17.9916939668
473,473,6.4474198939,17.3712906792
474,474,5.3728504574,17.9916940704
475,475,5.9101350859,18.3018954953
476,476,6.4474198939,15.510080961
477,477,6.4474198939,16.1304842485
478,478,5.9101350859,15.1998794324
479,479,5.3728504574,15.5100808573
480,480,12.8948539947,16.1304871379
481,481,12.8948539947,15.5100780716
482,482,13.4321529756,16.4406877444
483,483,2.13812e-05,16.1304694246
484,484,12.3575728019,17.0610866086
485,485,12.3575728019,16.4406883191
486,486,8.0592751525,14.5794762311
487,487,7.5219899151,14.2692744546
488,488,7.5219899151,13.6488713185
489,489,10.2084194077,16.4406864603
490,490,12.3575728019,1.5510105735
491,491,11.2829948111,2.1714102779
492,492,11.8202823793,1.2408060172
493,493,11.2829948111,1.5510091586
494,494,12.3575728019,2.171408863
495,495,11.8202823793,2.4816134193
496,496,11.8202823793,0.6204037011
497,497,11.2829948111,0.3102005597
498,498,12.3575728019,0.3101991448
499,499,11.2829948111,13.3386685871
500,500,10.7457067236,13.6488720076
501,501,12.8948539947,13.6488683534
502,502,12.8948539947,14.2692774197
503,503,12.3575728019,14.5794786009
504,504,11.8202823793,14.2692740446
505,505,12.3575728019,13.3386671722
